epu_ori_donga_naver,epu_ori_Kyunghyang_naver,epu_ori_maeil_naver,epu_ori_hankyoreh_naver,total_ori_Kyunghyang_naver,total_ori_donga_naver,total_ori_maeil_naver,total_ori_hankyoreh_naver,month,year
1,,,,,1404,,,4,1920
0,,,,,1690,,,5,1920
1,,,,,1900,,,6,1920
0,,,,,1966,,,7,1920
1,,,,,2180,,,8,1920
2,,,,,1943,,,9,1920
0,,,,,0,,,10,1920
0,,,,,0,,,11,1920
0,,,,,0,,,12,1920
0,,,,,0,,,1,1921
0,,,,,484,,,2,1921
0,,,,,2274,,,3,1921
0,,,,,2257,,,4,1921
0,,,,,2387,,,5,1921
0,,,,,2352,,,6,1921
0,,,,,2437,,,7,1921
0,,,,,2667,,,8,1921
0,,,,,2305,,,9,1921
0,,,,,2367,,,10,1921
0,,,,,1868,,,11,1921
0,,,,,2234,,,12,1921
0,,,,,1967,,,1,1922
0,,,,,1847,,,2,1922
0,,,,,2097,,,3,1922
0,,,,,2111,,,4,1922
1,,,,,2254,,,5,1922
0,,,,,2251,,,6,1922
0,,,,,2401,,,7,1922
0,,,,,2469,,,8,1922
0,,,,,2295,,,9,1922
0,,,,,2325,,,10,1922
0,,,,,2220,,,11,1922
0,,,,,2176,,,12,1922
0,,,,,2180,,,1,1923
0,,,,,2022,,,2,1923
0,,,,,2327,,,3,1923
0,,,,,2422,,,4,1923
0,,,,,2459,,,5,1923
0,,,,,2569,,,6,1923
0,,,,,2631,,,7,1923
0,,,,,2558,,,8,1923
0,,,,,2605,,,9,1923
0,,,,,2561,,,10,1923
1,,,,,2624,,,11,1923
0,,,,,2377,,,12,1923
1,,,,,2182,,,1,1924
0,,,,,2458,,,2,1924
0,,,,,2407,,,3,1924
0,,,,,2156,,,4,1924
0,,,,,2465,,,5,1924
0,,,,,2338,,,6,1924
0,,,,,2220,,,7,1924
0,,,,,2237,,,8,1924
0,,,,,2176,,,9,1924
0,,,,,2479,,,10,1924
0,,,,,2345,,,11,1924
0,,,,,2618,,,12,1924
0,,,,,2802,,,1,1925
1,,,,,2734,,,2,1925
0,,,,,3201,,,3,1925
0,,,,,3015,,,4,1925
0,,,,,3155,,,5,1925
0,,,,,3122,,,6,1925
0,,,,,2999,,,7,1925
0,,,,,3509,,,8,1925
0,,,,,3045,,,9,1925
0,,,,,2929,,,10,1925
1,,,,,2819,,,11,1925
0,,,,,3054,,,12,1925
0,,,,,2925,,,1,1926
1,,,,,2850,,,2,1926
0,,,,,629,,,3,1926
0,,,,,999,,,4,1926
0,,,,,2989,,,5,1926
0,,,,,2836,,,6,1926
0,,,,,2897,,,7,1926
0,,,,,3157,,,8,1926
0,,,,,2680,,,9,1926
0,,,,,2822,,,10,1926
0,,,,,2470,,,11,1926
0,,,,,2635,,,12,1926
1,,,,,2464,,,1,1927
0,,,,,2425,,,2,1927
0,,,,,2776,,,3,1927
0,,,,,2725,,,4,1927
0,,,,,2886,,,5,1927
0,,,,,2838,,,6,1927
0,,,,,3166,,,7,1927
0,,,,,3055,,,8,1927
0,,,,,2864,,,9,1927
0,,,,,2826,,,10,1927
0,,,,,2843,,,11,1927
0,,,,,2656,,,12,1927
0,,,,,2597,,,1,1928
0,,,,,2655,,,2,1928
0,,,,,2840,,,3,1928
0,,,,,2802,,,4,1928
0,,,,,2809,,,5,1928
0,,,,,2749,,,6,1928
0,,,,,2804,,,7,1928
1,,,,,2881,,,8,1928
0,,,,,2640,,,9,1928
0,,,,,2569,,,10,1928
0,,,,,2219,,,11,1928
0,,,,,2530,,,12,1928
1,,,,,2380,,,1,1929
2,,,,,2384,,,2,1929
0,,,,,2782,,,3,1929
0,,,,,2586,,,4,1929
0,,,,,2627,,,5,1929
0,,,,,2463,,,6,1929
0,,,,,2722,,,7,1929
0,,,,,2692,,,8,1929
0,,,,,2652,,,9,1929
0,,,,,2950,,,10,1929
0,,,,,3183,,,11,1929
0,,,,,3145,,,12,1929
0,,,,,2843,,,1,1930
0,,,,,2747,,,2,1930
0,,,,,3219,,,3,1930
0,,,,,1568,,,4,1930
0,,,,,0,,,5,1930
0,,,,,0,,,6,1930
0,,,,,0,,,7,1930
0,,,,,0,,,8,1930
0,,,,,2924,,,9,1930
0,,,,,3442,,,10,1930
1,,,,,3569,,,11,1930
1,,,,,3468,,,12,1930
0,,,,,3213,,,1,1931
0,,,,,3110,,,2,1931
0,,,,,3535,,,3,1931
0,,,,,3407,,,4,1931
0,,,,,3547,,,5,1931
0,,,,,3270,,,6,1931
0,,,,,3509,,,7,1931
0,,,,,3861,,,8,1931
0,,,,,3649,,,9,1931
0,,,,,3470,,,10,1931
0,,,,,2893,,,11,1931
0,,,,,2787,,,12,1931
0,,,,,2875,,,1,1932
0,,,,,3119,,,2,1932
0,,,,,3457,,,3,1932
0,,,,,3288,,,4,1932
0,,,,,3674,,,5,1932
0,,,,,3507,,,6,1932
0,,,,,3695,,,7,1932
0,,,,,3491,,,8,1932
0,,,,,3434,,,9,1932
0,,,,,3488,,,10,1932
0,,,,,3407,,,11,1932
0,,,,,3454,,,12,1932
0,,,,,3171,,,1,1933
0,,,,,3173,,,2,1933
0,,,,,3628,,,3,1933
0,,,,,3931,,,4,1933
0,,,,,4297,,,5,1933
0,,,,,4293,,,6,1933
0,,,,,4372,,,7,1933
0,,,,,4436,,,8,1933
0,,,,,4303,,,9,1933
0,,,,,4230,,,10,1933
0,,,,,4015,,,11,1933
0,,,,,3926,,,12,1933
0,,,,,3699,,,1,1934
0,,,,,3636,,,2,1934
0,,,,,4217,,,3,1934
0,,,,,3973,,,4,1934
0,,,,,4352,,,5,1934
1,,,,,3804,,,6,1934
0,,,,,4265,,,7,1934
0,,,,,4002,,,8,1934
0,,,,,3696,,,9,1934
0,,,,,3626,,,10,1934
0,,,,,3733,,,11,1934
0,,,,,3602,,,12,1934
1,,,,,3417,,,1,1935
0,,,,,3405,,,2,1935
0,,,,,4082,,,3,1935
0,,,,,3672,,,4,1935
0,,,,,4083,,,5,1935
0,,,,,4209,,,6,1935
0,,,,,4129,,,7,1935
0,,,,,4120,,,8,1935
0,,,,,3705,,,9,1935
0,,,,,4034,,,10,1935
0,,,,,3711,,,11,1935
0,,,,,3722,,,12,1935
1,,,,,3892,,,1,1936
0,,,,,3958,,,2,1936
0,,,,,4207,,,3,1936
0,,,,,4662,,,4,1936
1,,,,,4843,,,5,1936
0,,,,,4483,,,6,1936
0,,,,,5001,,,7,1936
0,,,,,4198,,,8,1936
0,,,,,0,,,9,1936
0,,,,,0,,,10,1936
0,,,,,0,,,11,1936
0,,,,,0,,,12,1936
0,,,,,0,,,1,1937
0,,,,,0,,,2,1937
0,,,,,0,,,3,1937
0,,,,,0,,,4,1937
0,,,,,0,,,5,1937
0,,,,,4492,,,6,1937
0,,,,,5595,,,7,1937
2,,,,,5179,,,8,1937
0,,,,,5163,,,9,1937
0,,,,,5680,,,10,1937
0,,,,,4899,,,11,1937
0,,,,,4820,,,12,1937
0,,,,,4263,,,1,1938
0,,,,,4343,,,2,1938
0,,,,,4660,,,3,1938
0,,,,,4508,,,4,1938
0,,,,,5023,,,5,1938
0,,,,,5221,,,6,1938
0,,,,,5097,,,7,1938
0,,,,,5117,,,8,1938
0,,,,,5076,,,9,1938
0,,,,,4630,,,10,1938
0,,,,,4891,,,11,1938
0,,,,,4733,,,12,1938
0,,,,,3924,,,1,1939
0,,,,,4188,,,2,1939
0,,,,,4620,,,3,1939
0,,,,,4333,,,4,1939
0,,,,,4732,,,5,1939
0,,,,,4784,,,6,1939
0,,,,,4752,,,7,1939
0,,,,,5100,,,8,1939
0,,,,,5286,,,9,1939
0,,,,,4783,,,10,1939
0,,,,,4942,,,11,1939
0,,,,,4691,,,12,1939
0,,,,,4095,,,1,1940
0,,,,,4769,,,2,1940
0,,,,,4818,,,3,1940
0,,,,,4176,,,4,1940
0,,,,,5418,,,5,1940
0,,,,,5222,,,6,1940
0,,,,,4252,,,7,1940
0,,,,,1410,,,8,1940
0,,,,,0,,,9,1940
0,,,,,0,,,10,1940
0,,,,,0,,,11,1940
0,,,,,0,,,12,1940
0,,,,,0,,,1,1941
0,,,,,0,,,2,1941
0,,,,,0,,,3,1941
0,,,,,0,,,4,1941
0,,,,,0,,,5,1941
0,,,,,0,,,6,1941
0,,,,,0,,,7,1941
0,,,,,0,,,8,1941
0,,,,,0,,,9,1941
0,,,,,0,,,10,1941
0,,,,,0,,,11,1941
0,,,,,0,,,12,1941
0,,,,,0,,,1,1942
0,,,,,0,,,2,1942
0,,,,,0,,,3,1942
0,,,,,0,,,4,1942
0,,,,,0,,,5,1942
0,,,,,0,,,6,1942
0,,,,,0,,,7,1942
0,,,,,0,,,8,1942
0,,,,,0,,,9,1942
0,,,,,0,,,10,1942
0,,,,,0,,,11,1942
0,,,,,0,,,12,1942
0,,,,,0,,,1,1943
0,,,,,0,,,2,1943
0,,,,,0,,,3,1943
0,,,,,0,,,4,1943
0,,,,,0,,,5,1943
0,,,,,0,,,6,1943
0,,,,,0,,,7,1943
0,,,,,0,,,8,1943
0,,,,,0,,,9,1943
0,,,,,0,,,10,1943
0,,,,,0,,,11,1943
0,,,,,0,,,12,1943
0,,,,,0,,,1,1944
0,,,,,0,,,2,1944
0,,,,,0,,,3,1944
0,,,,,0,,,4,1944
0,,,,,0,,,5,1944
0,,,,,0,,,6,1944
0,,,,,0,,,7,1944
0,,,,,0,,,8,1944
0,,,,,0,,,9,1944
0,,,,,0,,,10,1944
0,,,,,0,,,11,1944
0,,,,,0,,,12,1944
0,,,,,0,,,1,1945
0,,,,,0,,,2,1945
0,,,,,0,,,3,1945
0,,,,,0,,,4,1945
0,,,,,0,,,5,1945
0,,,,,0,,,6,1945
0,,,,,0,,,7,1945
0,,,,,0,,,8,1945
0,,,,,0,,,9,1945
0,,,,,0,,,10,1945
0,,,,,0,,,11,1945
0,,,,,887,,,12,1945
0,,,,,740,,,1,1946
0,,,,,663,,,2,1946
0,,,,,0,,,3,1946
0,,,,,727,,,4,1946
